iter	Passed	Remaining
0	36	11055
1	71	10579
2	103	10215
3	135	10031
4	163	9645
5	192	9430
6	220	9236
7	249	9102
8	281	9092
9	309	8971
10	338	8895
11	367	8818
12	396	8751
13	424	8665
14	453	8609
15	482	8559
16	511	8510
17	537	8421
18	565	8356
19	592	8298
20	621	8262
21	647	8184
22	675	8132
23	702	8081
24	730	8036
25	758	7993
26	788	7971
27	816	7935
28	846	7907
29	873	7864
30	903	7844
31	932	7806
32	961	7778
33	989	7739
34	1019	7715
35	1049	7697
36	1080	7681
37	1111	7660
38	1137	7614
39	1167	7589
40	1195	7554
41	1223	7516
42	1252	7483
43	1280	7449
44	1313	7441
45	1344	7425
46	1373	7394
47	1403	7366
48	1431	7331
49	1459	7295
50	1486	7259
51	1514	7223
52	1541	7183
53	1570	7154
54	1598	7120
55	1625	7083
56	1654	7054
57	1682	7020
58	1710	6985
59	1738	6952
60	1766	6922
61	1794	6890
62	1823	6860
63	1852	6830
64	1880	6797
65	1907	6764
66	1937	6737
67	1964	6702
68	1992	6669
69	2019	6635
70	2047	6602
71	2075	6571
72	2101	6535
73	2131	6508
74	2159	6478
75	2187	6446
76	2215	6415
77	2243	6384
78	2271	6353
79	2299	6322
80	2326	6290
81	2352	6255
82	2380	6224
83	2403	6181
84	2427	6140
85	2457	6114
86	2480	6073
87	2507	6040
88	2536	6012
89	2564	5983
90	2588	5944
91	2616	5915
92	2639	5875
93	2662	5834
94	2689	5804
95	2717	5774
96	2742	5739
97	2769	5708
98	2791	5666
99	2813	5627
100	2838	5592
101	2864	5560
102	2890	5529
103	2916	5497
104	2939	5458
105	2965	5427
106	2988	5390
107	3012	5356
108	3034	5316
109	3057	5280
110	3078	5241
111	3101	5205
112	3126	5173
113	3149	5138
114	3173	5105
115	3197	5071
116	3218	5034
117	3243	5002
118	3268	4970
119	3293	4940
120	3316	4906
121	3340	4873
122	3364	4842
123	3387	4807
124	3409	4773
125	3431	4739
126	3454	4705
127	3476	4671
128	3500	4639
129	3522	4606
130	3548	4578
131	3574	4549
132	3598	4518
133	3619	4483
134	3643	4453
135	3665	4419
136	3684	4383
137	3705	4349
138	3729	4319
139	3752	4288
140	3773	4255
141	3797	4224
142	3821	4195
143	3844	4164
144	3866	4133
145	3887	4100
146	3914	4074
147	3939	4045
148	3965	4019
149	3987	3987
150	4013	3960
151	4037	3931
152	4063	3904
153	4090	3878
154	4115	3849
155	4145	3826
156	4170	3798
157	4194	3769
158	4220	3742
159	4246	3715
160	4267	3684
161	4292	3656
162	4317	3628
163	4343	3602
164	4369	3574
165	4393	3546
166	4419	3519
167	4443	3491
168	4467	3462
169	4490	3433
170	4512	3404
171	4535	3375
172	4560	3348
173	4582	3318
174	4608	3291
175	4633	3264
176	4656	3235
177	4679	3207
178	4702	3178
179	4723	3148
180	4746	3120
181	4767	3091
182	4792	3063
183	4816	3036
184	4837	3006
185	4862	2980
186	4890	2954
187	4912	2926
188	4934	2897
189	4959	2871
190	4982	2843
191	5006	2816
192	5029	2788
193	5051	2760
194	5074	2732
195	5097	2705
196	5121	2677
197	5146	2651
198	5169	2623
199	5194	2597
200	5215	2568
201	5238	2541
202	5262	2514
203	5283	2486
204	5309	2460
205	5332	2433
206	5352	2404
207	5376	2378
208	5398	2350
209	5422	2323
210	5443	2296
211	5467	2269
212	5491	2243
213	5514	2216
214	5536	2188
215	5559	2162
216	5583	2135
217	5607	2109
218	5629	2082
219	5656	2056
220	5679	2030
221	5705	2004
222	5729	1978
223	5756	1953
224	5778	1926
225	5800	1899
226	5820	1871
227	5845	1845
228	5869	1819
229	5893	1793
230	5918	1767
231	5940	1741
232	5963	1714
233	5987	1688
234	6008	1662
235	6031	1635
236	6059	1610
237	6082	1584
238	6109	1559
239	6136	1534
240	6160	1508
241	6180	1481
242	6204	1455
243	6226	1428
244	6251	1403
245	6273	1377
246	6294	1350
247	6319	1324
248	6344	1299
249	6367	1273
250	6392	1247
251	6413	1221
252	6437	1195
253	6462	1170
254	6486	1144
255	6516	1120
256	6540	1094
257	6566	1069
258	6589	1043
259	6613	1017
260	6637	991
261	6661	966
262	6686	940
263	6709	914
264	6733	889
265	6759	863
266	6782	838
267	6806	812
268	6828	786
269	6850	761
270	6876	735
271	6900	710
272	6924	684
273	6949	659
274	6972	633
275	6997	608
276	7023	583
277	7045	557
278	7070	532
279	7092	506
280	7114	481
281	7137	455
282	7163	430
283	7186	404
284	7209	379
285	7235	354
286	7257	328
287	7283	303
288	7308	278
289	7329	252
290	7352	227
291	7376	202
292	7399	176
293	7425	151
294	7447	126
295	7472	100
296	7496	75
297	7518	50
298	7538	25
299	7560	0
