iter	Passed	Remaining
0	16	24671
1	31	23642
2	48	24198
3	63	23913
4	79	23905
5	95	23729
6	110	23495
7	125	23376
8	140	23195
9	155	23178
10	172	23303
11	187	23234
12	200	22954
13	214	22726
14	227	22556
15	241	22389
16	255	22311
17	269	22193
18	284	22180
19	298	22069
20	311	21973
21	326	21909
22	339	21809
23	353	21728
24	368	21730
25	381	21605
26	394	21513
27	407	21406
28	420	21334
29	434	21286
30	447	21212
31	461	21148
32	474	21088
33	487	21019
34	499	20924
35	512	20851
36	525	20775
37	538	20716
38	552	20695
39	565	20623
40	578	20577
41	591	20525
42	603	20440
43	616	20398
44	629	20346
45	642	20320
46	656	20308
47	670	20276
48	683	20228
49	695	20162
50	708	20141
51	721	20078
52	736	20114
53	749	20080
54	762	20030
55	776	20028
56	790	20004
57	803	19988
58	816	19953
59	830	19921
60	843	19901
61	857	19889
62	871	19880
63	884	19848
64	897	19804
65	911	19801
66	926	19821
67	941	19816
68	954	19804
69	967	19773
70	981	19752
71	993	19705
72	1007	19696
73	1019	19650
74	1034	19646
75	1048	19639
76	1061	19622
77	1075	19613
78	1091	19625
79	1104	19608
80	1118	19593
81	1133	19596
82	1146	19577
83	1161	19573
84	1174	19548
85	1188	19541
86	1201	19509
87	1215	19495
88	1229	19484
89	1241	19447
90	1256	19451
91	1270	19447
92	1286	19468
93	1300	19455
94	1312	19407
95	1324	19374
96	1336	19336
97	1350	19324
98	1365	19330
99	1378	19300
100	1390	19265
101	1402	19223
102	1415	19204
103	1429	19186
104	1442	19165
105	1456	19157
106	1468	19114
107	1481	19090
108	1492	19047
109	1506	19034
110	1517	18995
111	1531	18980
112	1544	18958
113	1558	18947
114	1572	18941
115	1585	18912
116	1598	18896
117	1611	18871
118	1623	18842
119	1638	18839
120	1650	18809
121	1665	18815
122	1677	18782
123	1691	18766
124	1703	18737
125	1714	18700
126	1728	18683
127	1740	18655
128	1753	18633
129	1765	18608
130	1781	18616
131	1792	18579
132	1805	18552
133	1817	18526
134	1829	18499
135	1843	18490
136	1855	18464
137	1869	18447
138	1882	18437
139	1896	18422
140	1908	18393
141	1922	18389
142	1936	18372
143	1949	18354
144	1963	18348
145	1977	18336
146	1989	18309
147	2003	18299
148	2015	18278
149	2028	18252
150	2042	18243
151	2053	18210
152	2067	18206
153	2079	18175
154	2093	18163
155	2105	18140
156	2117	18115
